root,contract,expiry_date,source,source_url
HG,HGV2011,2011-10-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2012,2012-10-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2013,2013-10-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2014,2014-10-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2015,2015-10-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2016,2016-10-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2017,2017-10-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2018,2018-10-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2019,2019-10-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2020,2020-10-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2021,2021-10-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2022,2022-10-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2023,2023-10-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2024,2024-10-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2008,2008-11-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2009,2009-11-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2010,2010-11-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2011,2011-11-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
